,Compound Name,Physical Parameter,Dimensions,Temporal Shape,Spatial Shape,Cell Methods,Cell Measures,Dimensions (from Spatial Shape),Dimensions (from Temporal Shape),CMIP7_branded_variable_name
0,3hr.clt,clt,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,clt_ti-u-hxy-u
1,3hr.evspsblsoi,evspsblsoi,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,evspsblsoi_ti-u-hxy-u
2,3hr.evspsblveg,evspsblveg,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,evspsblveg_ti-u-hxy-u
3,3hr.ficeberg,ficeberg,"longitude, latitude, olevel, time",time-intv,Global ocean field on model levels,area: mean where sea time: mean,area: areacello volume: volcello,"longitude,latitude,olevel",time,ficeberg_ti-l-hxy-sea
4,3hr.flandice,flandice,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,flandice_ti-u-hxy-sea
5,3hr.friver,friver,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,friver_ti-u-hxy-sea
6,3hr.hfds,hfds,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,hfds_ti-u-hxy-sea
7,3hr.hfdsl,hfdsl,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,hfdsl_ti-u-hxy-u
8,3hr.hfls,hfls,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,hfls_ti-u-hxy-u
9,3hr.hfrunoffds,hfrunoffds,"longitude, latitude, olevel, time",time-intv,Global ocean field on model levels,area: mean where sea time: mean,area: areacello volume: volcello,"longitude,latitude,olevel",time,hfrunoffds_ti-l-hxy-sea
10,3hr.hfss,hfss,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,hfss_ti-u-hxy-u
11,3hr.huss,huss,"longitude, latitude, time1, height2m",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,huss_ti-h2m-hxy-u
12,3hr.mrro,mrro,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,mrro_ti-u-hxy-lnd
13,3hr.mrros,mrros,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,mrros_ti-u-hxy-lnd
14,3hr.mrso10,mrso10,"longitude, latitude, time, sdepth10",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,mrso10_ti-z1m-hxy-lnd
15,3hr.mrsos,mrsos,"longitude, latitude, time1, sdepth1",time-point,Global field (single level),area: mean where land time: point,area: areacella,"longitude,latitude",time1,mrsos_ti-z10cm-hxy-lnd
16,3hr.pr,pr,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,pr_ti-u-hxy-u
17,3hr.prsn,prsn,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,prsn_ti-u-hxy-u
18,3hr.ps,ps,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,ps_ti-u-hxy-u
19,3hr.rlds,rlds,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rlds_ti-u-hxy-u
20,3hr.rlus,rlus,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rlus_ti-u-hxy-u
21,3hr.rsds,rsds,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsds_ti-u-hxy-u
22,3hr.rsntds,rsntds,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,rsntds_ti-u-hxy-sea
23,3hr.rsus,rsus,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsus_ti-u-hxy-u
24,3hr.sfdsi,sfdsi,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,sfdsi_ti-u-hxy-sea
25,3hr.srfrad,srfrad,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,srfrad_ti-u-hxy-u
26,3hr.swh,swh,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,swh_ti-z0m-hxy-sea
27,3hr.tas,tas,"longitude, latitude, time1, height2m",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,tas_ti-h2m-hxy-u
28,3hr.tauuo,tauuo,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,::OPT,"longitude,latitude",time,tauuo_ti-u-hxy-sea
29,3hr.tauvo,tauvo,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,::OPT,"longitude,latitude",time,tauvo_ti-u-hxy-sea
30,3hr.tos,tos,"longitude, latitude, time1",time-point,Global field (single level),area: mean where sea time: point,area: areacello,"longitude,latitude",time1,tos_ti-u-hxy-sea
31,3hr.tran,tran,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,tran_ti-u-hxy-u
32,3hr.tslsi,tslsi,"longitude, latitude, time1",time-point,Global field (single level),area: mean (comment: over land and sea ice) time: point,area: areacella,"longitude,latitude",time1,tslsi_ti-u-hxy-u
33,3hr.ua100m,ua100m,"longitude, latitude, time, height100m",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,ua100m_ti-h100m-hxy-u
34,3hr.va100m,va100m,"longitude, latitude, time, height100m",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,va100m_ti-h100m-hxy-u
35,3hr.wdir,wdir,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wdir_ti-z0m-hxy-sea
36,3hr.wfo,wfo,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wfo_ti-u-hxy-sea
37,3hr.wpdir,wpdir,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wpdir_ti-z0m-hxy-sea
38,3hr.wpp,wpp,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wpp_ti-z0m-hxy-sea
39,3hrPt.bldep,bldep,"longitude, latitude, time1, depth0m",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,bldep_ti-z0m-hxy-u
40,3hrPt.uas,uas,"longitude, latitude, time1, height10m",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,uas_ti-h10m-hxy-u
41,3hrPt.vas,vas,"longitude, latitude, time1, height10m",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,vas_ti-h10m-hxy-u
42,6hr.mpw,mpw,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,mpw_ti-z0m-hxy-sea
43,6hr.mpwswell,mpwswell,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,mpwswell_ti-z0m-hxy-sea
44,6hr.mpwwindsea,mpwwindsea,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,mpwwindsea_ti-z0m-hxy-sea
45,6hr.sduo,sduo,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,sduo_ti-z0m-hxy-sea
46,6hr.sdvo,sdvo,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,sdvo_ti-z0m-hxy-sea
47,6hr.swh,swh,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,swh_ti-z0m-hxy-sea
48,6hr.swhmax,swhmax,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: maximum,area: areacello,"longitude,latitude",time,swhmax_tstat-z0m-hxy-sea
49,6hr.swhswell,swhswell,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,swhswell_ti-z0m-hxy-sea
50,6hr.swhwindsea,swhwindsea,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,swhwindsea_ti-z0m-hxy-sea
51,6hr.wdir,wdir,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wdir_ti-z0m-hxy-sea
52,6hr.wdirswell,wdirswell,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wdirswell_ti-z0m-hxy-sea
53,6hr.wdirwindsea,wdirwindsea,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wdirwindsea_ti-z0m-hxy-sea
54,6hr.wpdir,wpdir,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wpdir_ti-z0m-hxy-sea
55,6hr.wpdirswell,wpdirswell,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wpdirswell_ti-z0m-hxy-sea
56,6hr.wpdirwindsea,wpdirwindsea,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wpdirwindsea_ti-z0m-hxy-sea
57,6hr.wpp,wpp,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wpp_ti-z0m-hxy-sea
58,6hr.wppswell,wppswell,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wppswell_ti-z0m-hxy-sea
59,6hr.wppwindsea,wppwindsea,"longitude, latitude, time, depth0m",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,wppwindsea_ti-z0m-hxy-sea
60,6hrLev.bs550aer,bs550aer,"longitude, latitude, alevel, time1, lambda550nm",time-point,Global field on model atmosphere levels,area: mean time: point,area: areacella,"longitude,latitude,alevel",time1,bs550aer_ti-l-hxy-u
61,6hrLev.ec550aer,ec550aer,"longitude, latitude, time1, lambda550nm",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,ec550aer_ti-u-hxy-u
62,6hrLev.hus,hus,"longitude, latitude, alevel, time1",time-point,Global field on model atmosphere levels,area: mean time: point,area: areacella,"longitude,latitude,alevel",time1,hus_ti-l-hxy-u
63,6hrLev.ps,ps,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,ps_ti-u-hxy-u
64,6hrLev.ta,ta,"longitude, latitude, alevel, time1",time-point,Global field on model atmosphere levels,area: mean time: point,area: areacella,"longitude,latitude,alevel",time1,ta_ti-l-hxy-u
65,6hrLev.ua,ua,"longitude, latitude, alevel, time1",time-point,Global field on model atmosphere levels,time: point,::OPT,"longitude,latitude,alevel",time1,ua_ti-l-hxy-u
66,6hrLev.va,va,"longitude, latitude, alevel, time1",time-point,Global field on model atmosphere levels,time: point,::OPT,"longitude,latitude,alevel",time1,va_ti-l-hxy-u
67,6hrLev.zg,zg,"longitude, latitude, alevel, time1",time-point,Global field on model atmosphere levels,area: mean time: point,area: areacella,"longitude,latitude,alevel",time1,zg_ti-l-hxy-u
68,6hrPlev.hurs,hurs,"longitude, latitude, time, height2m",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,hurs_ti-h2m-hxy-u
69,6hrPlev.huss,huss,"longitude, latitude, time, height2m",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,huss_ti-h2m-hxy-u
70,6hrPlev.pr,pr,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,pr_ti-u-hxy-u
71,6hrPlev.prhmax,prhmax,"longitude, latitude, time",time-intv,Global field (single level),area: mean time: maximum,area: areacella,"longitude,latitude",time,prhmax_tstat-u-hxy-u
72,6hrPlev.prra,prra,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,prra_ti-u-hxy-u
73,6hrPlev.prsn,prsn,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,prsn_ti-u-hxy-u
74,6hrPlev.ps,ps,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,ps_ti-u-hxy-u
75,6hrPlev.psl,psl,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,psl_ti-u-hxy-u
76,6hrPlev.rlds,rlds,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rlds_ti-u-hxy-u
77,6hrPlev.rsds,rsds,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsds_ti-u-hxy-u
78,6hrPlev.rv850,rv850,"longitude, latitude, time, p850",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,rv850_ti-850hPa-hxy-air
79,6hrPlev.sfcWind,sfcWind,"longitude, latitude, time, height10m",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,sfcWind_ti-h10m-hxy-u
80,6hrPlev.tas,tas,"longitude, latitude, time, height2m",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,tas_ti-h2m-hxy-u
81,6hrPlev.ts,ts,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,ts_ti-u-hxy-u
82,6hrPlev.uas,uas,"longitude, latitude, time, height10m",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,uas_ti-h10m-hxy-u
83,6hrPlev.vas,vas,"longitude, latitude, time, height10m",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,vas_ti-h10m-hxy-u
84,6hrPlev.zg1000,zg1000,"longitude, latitude, time, p1000",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,zg1000_ti-1000hPa-hxy-air
85,6hrPlevPt.hur100,hur100,"longitude, latitude, time1, p100",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,hur100_ti-100hPa-hxy-u
86,6hrPlevPt.hur500,hur500,"longitude, latitude, time1, p500",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,hur500_ti-500hPa-hxy-u
87,6hrPlevPt.hur850,hur850,"longitude, latitude, time1, p850",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,hur850_ti-850hPa-hxy-u
88,6hrPlevPt.hus7h,hus,"longitude, latitude, plev7h, time1",time-point,Global field (7 pressure tropospheric levels),area: mean where air time: point,area: areacella,"longitude,latitude,plev7h",time1,hus_ti-p7h-hxy-air
89,6hrPlevPt.intuaw,intuaw,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,intuaw_ti-u-hxy-u
90,6hrPlevPt.intvaw,intvaw,"longitude, latitude, time1",time-point,Global field (single level),area: point time: point,area: areacella,"longitude,latitude",time1,intvaw_ti-u-hxy-u
91,6hrPlevPt.pr,pr,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,pr_ti-u-hxy-u
92,6hrPlevPt.prw,prw,"longitude, latitude, time1",time-point,Global field (single level),time: point,area: areacella,"longitude,latitude",time1,prw_ti-u-hxy-u
93,6hrPlevPt.psl,psl,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,psl_ti-u-hxy-u
94,6hrPlevPt.rv850,rv850,"longitude, latitude, time1, p850",time-point,Global field (single level),area: mean where air time: point,area: areacella,"longitude,latitude",time1,rv850_ti-850hPa-hxy-air
95,6hrPlevPt.ta,ta,"longitude, latitude, plev3, time1",time-point,Global field (3 pressure levels),area: mean where air time: point,area: areacella,"longitude,latitude,plev3",time1,ta_ti-p3-hxy-air
96,6hrPlevPt.ta7h,ta,"longitude, latitude, plev7h, time1",time-point,Global field (7 pressure tropospheric levels),area: mean where air time: point,area: areacella,"longitude,latitude,plev7h",time1,ta_ti-p7h-hxy-air
97,6hrPlevPt.taUTLS,taUTLS,"longitude, latitude, plev5u, time1",time-point,"""Global field (5 pressure levels, UTLS)""",time: point,area: areacella,"longitude,latitude,plev5u",time1,taUTLS_ti-u-hxy-u
98,6hrPlevPt.taUTLSadd,taUTLSadd,"longitude, latitude, plev5u, time1",time-point,"""Global field (5 pressure levels, UTLS)""",time: point,area: areacella,"longitude,latitude,plev5u",time1,taUTLSadd_ti-u-hxy-u
99,6hrPlevPt.ts,ts,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,ts_ti-u-hxy-u
100,6hrPlevPt.ua,ua,"longitude, latitude, plev3, time1",time-point,Global field (3 pressure levels),area: mean where air time: point,area: areacella,"longitude,latitude,plev3",time1,ua_ti-p3-hxy-air
101,6hrPlevPt.ua7h,ua,"longitude, latitude, plev7h, time1",time-point,Global field (7 pressure tropospheric levels),area: mean where air time: point,area: areacella,"longitude,latitude,plev7h",time1,ua_ti-p7h-hxy-air
102,6hrPlevPt.ua200,ua200,"longitude, latitude, time1, p200",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,ua200_ti-u-hxy-u
103,6hrPlevPt.uas,uas,"longitude, latitude, time1, height10m",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,uas_ti-h10m-hxy-u
104,6hrPlevPt.uaUTLS,uaUTLS,"longitude, latitude, plev5u, time1",time-point,"""Global field (5 pressure levels, UTLS)""",area: mean where air time: point,area: areacella,"longitude,latitude,plev5u",time1,uaUTLS_ti-u-hxy-air
105,6hrPlevPt.uaUTLSadd,uaUTLSadd,"longitude, latitude, plev5u, time1",time-point,"""Global field (5 pressure levels, UTLS)""",area: mean where air time: point,area: areacella,"longitude,latitude,plev5u",time1,uaUTLSadd_ti-u-hxy-air
106,6hrPlevPt.va,va,"longitude, latitude, plev3, time1",time-point,Global field (3 pressure levels),area: mean where air time: point,area: areacella,"longitude,latitude,plev3",time1,va_ti-p3-hxy-air
107,6hrPlevPt.va7h,va,"longitude, latitude, plev7h, time1",time-point,Global field (7 pressure tropospheric levels),area: mean where air time: point,area: areacella,"longitude,latitude,plev7h",time1,va_ti-p7h-hxy-air
108,6hrPlevPt.va200,va200,"longitude, latitude, time1, p200",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,va200_ti-u-hxy-u
109,6hrPlevPt.vas,vas,"longitude, latitude, time1, height10m",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,vas_ti-h10m-hxy-u
110,6hrPlevPt.vaUTLS,vaUTLS,"longitude, latitude, plev5u, time1",time-point,"""Global field (5 pressure levels, UTLS)""",area: mean where air time: point,area: areacella,"longitude,latitude,plev5u",time1,vaUTLS_ti-u-hxy-air
111,6hrPlevPt.vaUTLSadd,vaUTLSadd,"longitude, latitude, plev5u, time1",time-point,"""Global field (5 pressure levels, UTLS)""",area: mean where air time: point,area: areacella,"longitude,latitude,plev5u",time1,vaUTLSadd_ti-u-hxy-air
112,6hrPlevPt.zg,zg,"longitude, latitude, plev3, time1",time-point,Global field (3 pressure levels),area: mean where air time: point,area: areacella,"longitude,latitude,plev3",time1,zg_ti-p3-hxy-air
113,6hrPlevPt.zg7h,zg,"longitude, latitude, plev7h, time1",time-point,Global field (7 pressure tropospheric levels),area: mean where air time: point,area: areacella,"longitude,latitude,plev7h",time1,zg_ti-p7h-hxy-air
114,6hrPlevPt.zg500,zg500,"longitude, latitude, time1, p500",time-point,Global field (single level),area: mean where air time: point,area: areacella,"longitude,latitude",time1,zg500_ti-500hPa-hxy-air
115,6hrPlevPt.zg700,zg700,"longitude, latitude, time1, p700",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,zg700_ti-700hPa-hxy-u
116,6hrPlevPt.zg925,zg925,"longitude, latitude, time1, p925",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,zg925_ti-u-hxy-u
117,AERday.co,co,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,co_ti-u-hxy-u
118,AERday.cod,cod,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,cod_ti-u-hxy-u
119,AERday.drynh3,drynh3,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,drynh3_ti-u-hxy-u
120,AERday.drynh4,drynh4,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,drynh4_ti-u-hxy-u
121,AERday.drynoy,drynoy,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,drynoy_ti-u-hxy-u
122,AERday.maxpblz,maxpblz,"longitude, latitude, time",time-intv,Global field (single level),area: mean time: maximum,area: areacella,"longitude,latitude",time,maxpblz_tstat-u-hxy-u
123,AERday.minpblz,minpblz,"longitude, latitude, time",time-intv,Global field (single level),area: mean time: minimum,area: areacella,"longitude,latitude",time,minpblz_tstat-u-hxy-u
124,AERday.mmraerh2o,mmraerh2o,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,mmraerh2o_ti-u-hxy-u
125,AERday.mmrbc,mmrbc,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,mmrbc_ti-u-hxy-u
126,AERday.mmrdust,mmrdust,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,mmrdust_ti-u-hxy-u
127,AERday.mmrnh4,mmrnh4,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,mmrnh4_ti-u-hxy-u
128,AERday.mmrno3,mmrno3,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,mmrno3_ti-u-hxy-u
129,AERday.mmroa,mmroa,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,mmroa_ti-u-hxy-u
130,AERday.mmrso4,mmrso4,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,mmrso4_ti-u-hxy-u
131,AERday.mmrsoa,mmrsoa,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,mmrsoa_ti-u-hxy-u
132,AERday.mmrss,mmrss,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,mmrss_ti-u-hxy-u
133,AERday.od550aer,od550aer,"longitude, latitude, time, lambda550nm",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,od550aer_ti-u-hxy-u
134,AERday.sfo3max,sfo3max,"longitude, latitude, time",time-intv,Global field (single level),area: mean time: maximum,area: areacella,"longitude,latitude",time,sfo3max_tstat-u-hxy-u
135,AERday.sfpm1,sfpm1,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,sfpm1_ti-u-hxy-u
136,AERday.sfpm10,sfpm10,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,sfpm10_ti-u-hxy-u
137,AERday.sfpm25,sfpm25,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,sfpm25_ti-u-hxy-u
138,AERday.so2,so2,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,so2_ti-u-hxy-u
139,AERday.toz,toz,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,toz_ti-u-hxy-u
140,AERday.ua10,ua10,"longitude, latitude, time, p10",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,ua10_ti-10hPa-hxy-air
141,AERday.wetnh3,wetnh3,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,wetnh3_ti-u-hxy-u
142,AERday.wetnh4,wetnh4,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,wetnh4_ti-u-hxy-u
143,AERday.wetnoy,wetnoy,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,wetnoy_ti-u-hxy-u
144,AERday.zg10,zg10,"longitude, latitude, time, p10",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,zg10_ti-10hPa-hxy-air
145,AERday.zg500,zg500,"longitude, latitude, time, p500",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,zg500_ti-500hPa-hxy-air
146,AERday.zg1000,zg1000,"longitude, latitude, time, p1000",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,zg1000_ti-1000hPa-hxy-air
147,AERfx.ch4ref,ch4ref,"longitude, latitude, alevel",,Global field on model atmosphere levels,area: mean,area: areacella,"longitude,latitude,alevel",,ch4ref_ti-l-hxy-u
148,AERfx.o3ref,o3ref,"longitude, latitude, alevel",,Global field on model atmosphere levels,area: mean,area: areacella,"longitude,latitude,alevel",,o3ref_ti-l-hxy-u
149,AERfx.o3refClim,o3ref,"longitude, latitude, alevel, timefxc",time-fxc,Global field on model atmosphere levels,area: time: mean (monthly mean fixed annual cycle),area: areacella,"longitude,latitude,alevel",timefxc,o3ref_ti-l-hxy-u
150,AERhr.ps,ps,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,ps_ti-u-hxy-u
151,AERhr.sfno2,sfno2,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,sfno2_ti-u-hxy-u
152,AERhr.sfo3,sfo3,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,sfo3_ti-u-hxy-u
153,AERhr.sfpm1,sfpm1,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,sfpm1_ti-u-hxy-u
154,AERhr.sfpm10,sfpm10,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,sfpm10_ti-u-hxy-u
155,AERhr.sfpm25,sfpm25,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,sfpm25_ti-u-hxy-u
156,AERhr.tas,tas,"longitude, latitude, time, height2m",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,tas_ti-h2m-hxy-u
157,AERmon.abs550aer,abs550aer,"longitude, latitude, time, lambda550nm",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,abs550aer_ti-u-hxy-u
158,AERmon.abs550bc,abs550bc,"longitude, latitude, time, lambda550nm",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,abs550bc_ti-u-hxy-u
