,Compound Name,Physical Parameter,Dimensions,Temporal Shape,Spatial Shape,Cell Methods,Cell Measures,Dimensions (from Spatial Shape),Dimensions (from Temporal Shape),CMIP7_branded_variable_name
711,E1hr.rsds,rsds,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsds_ti-u-hxy-u
712,E1hr.rsdsdiff,rsdsdiff,"longitude, latitude, time, height2m",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsdsdiff_ti-h2m-hxy-u
713,E1hr.rsus,rsus,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsus_ti-u-hxy-u
714,E1hr.sfcWind,sfcWind,"longitude, latitude, time, height10m",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,sfcWind_ti-h10m-hxy-u
715,E1hr.tas,tas,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,::MODEL,"longitude,latitude",time,tas_ti-u-hxy-u
716,E1hr.ts,ts,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,ts_ti-u-hxy-u
717,E1hr.ua100m,ua100m,"longitude, latitude, time1, height100m",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,ua100m_ti-h100m-hxy-u
718,E1hr.uas,uas,"longitude, latitude, time1, height10m",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,uas_ti-h10m-hxy-u
719,E1hr.va100m,va100m,"longitude, latitude, time1, height100m",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,va100m_ti-h100m-hxy-u
720,E1hr.vas,vas,"longitude, latitude, time1, height10m",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,vas_ti-h10m-hxy-u
721,E1hr.wsgmax10m,wsgmax10m,"longitude, latitude, time, height10m",time-intv,Global field (single level),area: mean time: maximum,area: areacella,"longitude,latitude",time,wsgmax10m_tstat-h10m-hxy-u
722,E1hr.wsgmax100m,wsgmax100m,"longitude, latitude, time, height100m",time-intv,Global field (single level),area: mean time: maximum,area: areacella,"longitude,latitude",time,wsgmax100m_tstat-h100m-hxy-u
